5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e3443 --->  0
e3522 --->  0
e3714 --->  0
e037 --->  0
e245 --->  0
e34 --->  0
e4430 --->  0
e4832 --->  0
e3241 --->  0
e1714 --->  0
e2217 --->  0
e200 --->  0
e2225 --->  0
e415 --->  0
e3047 --->  0
e33 --->  0
e4533 --->  0
e1431 --->  0
e4515 --->  0
e2449 --->  0
e4013 --->  0
e3139 --->  0
e4911 --->  0
e3032 --->  0
e939 --->  0
e3812 --->  0
e1049 --->  0
e166 --->  0
e3622 --->  0
e4712 --->  0
e4740 --->  0
e1940 --->  0
e2846 --->  0
e3718 --->  0
e112 --->  0
e175 --->  0
e294 --->  0
e343 --->  0
e2732 --->  0
e2249 --->  0
e1642 --->  0
e226 --->  0
e3540 --->  0
e318 --->  0
e20 --->  0
e1430 --->  0
e2035 --->  0
e1225 --->  0
e313 --->  0
e4221 --->  0
e3333 --->  0
e1914 --->  0
e937 --->  0
e2339 --->  0
e2920 --->  0
e2331 --->  0
e3513 --->  0
e4014 --->  0
e018 --->  0
e2410 --->  0
e4633 --->  0
e2844 --->  0
e59 --->  0
e1749 --->  0
e2018 --->  0
e231 --->  0
e629 --->  0
e1041 --->  0
e3120 --->  0
e1127 --->  0
e3824 --->  0
e4341 --->  0
e933 --->  0
e273 --->  0
e3028 --->  0
e4848 --->  0
e1515 --->  0
e3140 --->  0
e4739 --->  0
e1034 --->  0
e32 --->  0
e195 --->  0
e4348 --->  0
e4837 --->  0
e4733 --->  0
e353 --->  0
e316 --->  0
e1038 --->  0
e354 --->  0
e2636 --->  0
e305 --->  0
e3141 --->  0
e3736 --->  0
e4331 --->  0
e458 --->  0
e4711 --->  0
e4744 --->  0
e3828 --->  0
e359 --->  0
e1125 --->  0
e37 --->  0
e4940 --->  0
e432 --->  0
e2434 --->  0
e4411 --->  0
e1111 --->  0
e1834 --->  0
e44 --->  0
e433 --->  0
e2937 --->  0
e3212 --->  0
e3912 --->  0
e3949 --->  0
e4828 --->  0
e4626 --->  0
e243 --->  0
e306 --->  0
e4820 --->  0
e1617 --->  0
e09 --->  0
e496 --->  0
e3546 --->  0
e14 --->  0
e2929 --->  0
e344 --->  0
e2516 --->  0
e67 --->  0
e1728 --->  0
e4131 --->  0
e3310 --->  0
e2746 --->  0
e2736 --->  0
e3749 --->  0
e2813 --->  0
e3111 --->  0
e216 --->  0
e2029 --->  0
e2048 --->  0
e89 --->  0
e3238 --->  0
e2216 --->  0
e205 --->  0
e48 --->  0
e123 --->  0
e161 --->  0
e4641 --->  0
e826 --->  0
e913 --->  0
e1729 --->  0
e2544 --->  0
e43 --->  0
e4710 --->  0
e4624 --->  0
e147 --->  0
e3923 --->  0
e3245 --->  0
e1040 --->  0
e1526 --->  0
e1620 --->  0
e2620 --->  0
